"Industrial management","William r.,Spriegel","With the confident judgment that in careful analysis of management problems is to be found the hope of industry this book has been developed stress has been placed on general organization problems not only in the chapters on organization but throughout the text with a deep conviction that if a satisfactory structures be developed for any Enterprise all other faces of management are simplified.","Management, Textbook","556454","English"
"Industrial psychology","Ernest J,McCormick;Joseph,Tiffin","And up to the minute edition of a famous bestseller shows how problems of people in business and industries can be solved through the use of practical psychology.","Psychology, Textbook","5811417","English"
"Inkjet Writing Systems Design Fundamentals"," Staff,Hewlett Packard","This book takes a systems approach to discussing thermal inkjet technology and related to designing TIG writing systems a writing assistant consists of a writing device 
 device print cartridges and Media
.","Design","99994","English"
"Intel Component Data Catalog","Intel,Staff","This is a catalog up until components published in 1981","Data book","99971","English"
"Internet email protocols, standards, and implementation"," Lawrence,Hughes","This book is for anyone who is developing or planning to develop internet messaging software or even software that is messaging enabled.","Design","0890069395","English"
"Introduction to compiler construction with Unix","H.  George Jr.,Friedman;Axel T.,Schreiner","This book is a case study: how to create a compiler using generators such as yacc (LALR(1)  parser generator) and lex ( regular expression based on lexical analyzer generator), two very powerful yet reasonably easy to use tools available under the Unix system","Programming","00134743962","English"
"Introduction to the Laplace transform","Dio L.,Holl;Claire g.,Maple;Bernard,Vinograde","The purpose of this book is to give an introduction at the undergraduate level to the theory and applications of the Laplace transform.","Mathematics, Textbook","597720","English"
"Isaiah, Trusting God In Troubled Times"," Howard,Peskett","22 Studies in two parts for individuals or groups","Bible Study","9780830830299","English"
"ISDN concepts facilities and services","Gary c.,Kessler;Peter,Southwick","This book is the first introduction to some of the many aspects of the integrated services digital Network isdn. It is intended for those who must learn about isdn, but feel intimidated by all the technological jargon come commonly found in the current literature, as well as vendors implementation and application specifications.","Reference","fcc0070342490","English"
"Java Class Libraries Volume 1","Fai,Chan","This book is intended as a reference rather than a tutorial its format is similar to a dictionary in that it is designed to optimize the time it takes for you to look up information about a class or class member.","Programming","0201485525133","English"
"Java How To Program"," H. M.,Deitel","Learning to program in Java","Programming","0130125075","English"
"JavaScript and DHtml cookbook","Danny,Goodman","This book covers:
Strings, numbers and dates, arrays and objects, variables functions and Flow control, browser feature detection, managing browser windows, managing multiple frames, dynamic forms, mansion events, Paige navigation techniques, managing sheet styles, visual effects for stationary content, positioning HTML elements, creating dynamic content, and dynamic content applications.","Web design","0596004675","English"
"Javascript & Dhtml Cookbook"," Danny,Goodman","Cookbook for Javascript and DHTML","Programming","0596004672","English"
"Job , Waiting On God In Difficult Times"," Steve,Parolini","A study of the book of Job  in the bible for individuals or groups","Bible Study","9780781406345","English"
"Judges , Returning To God"," Donald,baker","12 Studies for Individuals or Groups","Bible Study","9780830830404","English"
"Keep Your Love On!"," Danny,Silk","Learning to love by connecting, communicating and setting boundaries","Self Help","9781942306061","English"
"Know Your Enemy"," Bob,Fraley","We analyze our opponents in the  military, sports and Business. The Bible warns our spiritual opponent will use self-serving attractions to deceive us during our current times.","Bible Study","9999999","English"
"Learning Rails"," Simon,Laurent","Learning Ruby on rails. A web development tool","Web design","9780596518776","English"
"Leviticus/Numbers"," David R.,Shepherd","A Study of two books in the bible Leviticus and Numbers","Bible Study","0805490698","English"
"Lex & Yacc"," John R.,Levine","Compiler design using lex and yacc","Programming","1565920007","English"
"Lines waves and antennas","Robert Grover,Brown;William Lewis,Hughes;Robert a.,Sharpe","This book is an introductory text in the general area of electric energy propagation. It is assumed that the student has a reasonably thorough background and circuit analysis and static field theory and also some familiarity with differential equations and vector analysis, both of which are indispensable in wave theory.","Design, Textbook","616149","English"
"Linux Smart homes for dummies","Neil,Cherry","Here's some of the things you can do with this book:
Build a wireless network and connect it to the internet
Control your TV and music by adding service to record and play back TV programs","Design","1397807645982","English"
"Mark,  20 Studies For Individuals Or Groups"," N. T.,Wright","A bible study of the book of Mark in the Bible","Bible Study","9780830821822","English"
"Matthew , The Coming Of The King"," John,MacAuthur","A bible study of the book of Matthew in the bible for individuals or groups","Bible Study","9780718035013","English"
"MDA08 CMOS STANDARD CELL DATA"," Staff,Motorola","Motorola's muscle(mixed mode unified scalable cell library elements) family up sea moss standard cell features a diverse set of digital and high-performance analog cells based on Motorola unified decide rules.","Data book","99976","English"
"Microsoft C++ tutorial","Microsoft,Staff","The C plus plus tutorial provides an introduction to the C plus plus language and object-oriented programming. This book is intended for people who are familiar with see, and therefore it doesn't cover the parts of cplusplus languages that are found in C. In some places this book compare C plus plus with C in order to demonstrate how the same problem might be solved in each language.","Programming","LN247741191","English"
"Microsoft MASM Programmer`s Guide","Microsoft,Staff","The Microsoft micro assembler programmer's guide provides the information you need to write and debug Assembly Language programs with Microsoft micro assembler (masm) version 6.1.","Programming","DB35747192","English"
"Microsoft Quick C","Microsoft,Staff","The Microsoft sign language reference defines the C language as implemented by Microsoft Corporation is intended as a reference for programmers experience in C or other programming languages throw knowledge of programming fundamentals is assumed.","Programming","410840018500","English"
"Microwave Theory and Measurement","Engineering Staff,Hewlett Packard Microwave Division","This book has been prepared to meet a continuing and increasing demand in the electronic industry in the academic field for basic information on microwave and microwave measurements the contest provides analysis of microwave Theory microwave instrumentation in microwave measurement techniques.","Design, Textbook","6217424","English"
"MKS toolkit","MKS,Staff","Essential development tools for programmers","Programming","1895033152","English"
"MKS Toolkit User's Guide","","This manual, the two users guy, it's useful as an introduction as to how you would use the commands in the MKS tool kit, and provides hints as to why you should choose to do so.. it is especially useful as an introduction for those with no previous Unix experience.","User guide","99972","English"
"Motorola 68000 Programmer's Reference Manual"," Staff,Motorola","A programmer's reference manual for the Motorola 68000. Details machine code instructions.","Manual","99975","English"
"Motorola low power schottky TTL","Motorola,Semiconductor components group","This book presents technical data for a broad line of low power schottky TTL integrated circuits","Data book","99980","English"
"Nature and properties of engineering materials","Zbigniew D.,Jastrzebski","The purpose of this book is to emphasize the basic principles necessary for an understanding of the fundamental nature and properties of engineering materials and to make clear the significance of these principles in engineering practice.","Engineering, Textbook","5914120","English"
"New music Horizons","jules,Gotlier","Beginning book to learn music","Music","99977","English"
"Norton system works 2002"," Norton,Symtec","Norton antivirus user guide","User guide","99989","English"
"Object Oriented Development The Fusion Method"," Derek,Coleman","The target audience for this book is software engineers and project managers who have some familiarity with intend to try the object-oriented approach.","Programming","0133388239","English"
"Object Oriented Modeling And Design"," James,Runbaugh","This book presents an object-oriented approach to software development based on modeling objects from The real world and then using the model to build a language independent design organized around those objects","Programming","0136298419","English"
"OrCAD/SDT III","ORCad,Staff","This enhance package, is a complete and flexible schematic capture package. Easy-to-use menu-driven commands help you to create edit save print and electronic schematics.","Design","1871100A","English"
"Paintjet Color Graphics Printer User'S Guide"," Staff,Hewlett Packard","Users guide for Early inkjet printer (PaintJet)","Manual","036391","English"
"Philippians, Partners For Life"," Tim,Thorburn","8 interactive bible studies for small groups and individuals","Bible Study","9781921896187","English"
"Power to change"," Jason,Frenn","Breaking the destructive patterns in your life.","Personal development","9870100236","English"
"PowerTracks Pro Audio User`s Guide","PG Music Inc.,Staff","With powertraxpro audio, you can quickly record, edit, process, and mix down complete multitrack midi and audio projects. Import PG music's new multitrack waves, band and fox MIDI files, and karaoke MIDI files to enhance your project while greatly Expediting project creation times.","Music, User guide","99970","English"
"Ppp Design And Debugging"," James,Carlson","This book covers point to point protocol from the bits and bytes transmitted up through the connections to the other networking software.","Programming","0201-185393","English"
"Principles of electric and magnetic circuits","Warren b.,Boast PhD","This textbook is designed for use in an introductory course in electrical engineering with special emphasis on the study of electric and magnetic circuits.","Electronic engineering","578330","English"
"Principles of electric and magnetic fields","Warren B.,Boast PhD","This textbook is designed for study by undergraduate students do Saturday fundamental comprehension of electric and magnetic fields","Electronic engineering","566092","English"
"Problem Solving And Program Design In C"," Jeri R.,Hanly","This textbook teaches a discipline approach to solving problems and to applying wildly accepted software engineering methods to design program solutions as cohesive readable and reusable modules.","Programming","0201576538","English"
"Programmable Controllers Concepts And Applications"," L. A.,Bryan","Programmable controllers are often used to control mechanism in a manufacturing process","Manufacturing","09154259","English"
"Programmers Reference Guide"," Staff,Motorola","Assembly language for Motorola 68000","Programming","99998","English"
"Programming in Pascal with Pascal / 1000","Peter,Grogono","This addition of programming in Pascal serves two purposes. First, it describes the computer programming language Pascal, as described by the draft ANSI standard. Second, it describes the enhancements to standard Pascal provided by the Hewlett-Packard Pascal / 1000 compiler.","Programming","0201028891","English"
"Programming Perl"," Larry,Wall","A handbook into programming Perl.","Manual","0937175641","English"
"Programming Windows 95","Charles,Petzold","The definitive developers guide to Windows 95 API","Programming","1556156766","English"
"Radiotron designers handbook","F.,Langford-smith","This book has been written as a comprehensive, self-explanatory reference handbook for the benefits of all who are have an interest in the design and application of radio receivers or audio amplifiers.","Design","99987","English"
"RCA linear integrated circuits"," RCA,Staff","This data book contains application notes on linear integrated circuits and demos discrete Moss Field effect devices presently available from RCA solid state division as standard products. 1975","Data book","99988","English"
"Red hat Linux 6.0 getting started guide","","At redhead software we believe we offer the best Linux distribution on the market. We hope you'll agree that the time and money you spent for Red hats clinics was well spent indeed.","User guide","99979","English"
"Red Hat Linux 6.0 Installation Guide"," Red hat,Staff","Install Linux 6.0 on PC","Manual","1888-172-282","English"
"Red hat Linux 6.2 installation guide"," Red hat,Staff","Guide for installing redhead 6.2 on PC","User guide","99978","English"
"Reference data for radio engineers","International,Telephone and telegraph corporation","A reference book for RF engineering","Electronic engineering","99983","English"
"Romans, Encountering The Gospel's Power"," John,Stott","A bible study of the book of Romans in the Bible","Bible Study","9780830821655","English"
"Rti Utilities Library"," WindRiver,Staff","This manual services a programmer's guide and reference to the RTL ib utilities used in the wind River operating system.","Programming","99992","English"
"Senmail","Eric,Allman;Bryan,Costales","This book is primarily intended for system administrators who have been granted the dubious honor of administering email. But not all Unix systems are made by administrators mini are made by programmers Network engineers and even but an experienced users.","User guide","1565922220","English"
"Share Jesus Without Fear"," William,Fay","Learning how to be an effective witness","Self Help","0805418393","English"
"Subscriber loop signaling and transmission handbook","L William d.,Reeve","The emphasis in this book is in the practical application of communications industry signaling and transmission practices and standard as they apply to voice band subscriber loop design construction and use.","Telephone technology","08794272742","English"
"System BIOS for IBM PC's Compatibles and EISA omputers","Phoenix,Technologies LTD.","The architecture of a single board micro computer like the IBM PC can be thought I bet they serious of functional layers. The lowest layer is the hardware the actual machine the hair Lair is an application program that interfaces to the youth in between the hardware the application programs is software the system software itself is composed of several elements call the operating system kernel and she'll device drivers and perhaps a multitasking supervisor.","Manual","34567ARM96959","English"
"Testing Computer Software","Jack,Falk;CEM,Kaner;Hung Quoc,Nguyen","Testing computer software provides a realistic pragmatic introduction to test in consumer and business software under normal business convictions. We've tested software and manage testers for well-known, fast-paced Silicon Valley. We're Publishers. We wrote this book as a training and survival guide for our staff.","Programming","1850328471","English"
"The Anatomy  of the 1541 Dissk drive","Lothar,Englisch","This book progresses from the simple storage techniques to direct access commands, to program chain techniques. Beginners will welcome the numerous type of programs that are fully explained in clear text.","Programming","0916439011","English"
"The Art Of Compiler Design"," James,Peters","Understanding Compiler Design","Programming","0130481904","English"
"The C Programming Language"," Brian,Kernighan","The Bible of the c language","Programming","0131103628","English"
"The C++ Programming Language"," Bjarne,Stroustup","The c++ reference book","Programming","020112078X","English"
"The HP way"," L. A.,Bryan;Dave,Packard","How Bill Hewlett and I built our company","Biography","0887307477","English"
"The Man In The Mirror"," Patric M.,Morley","Solving the 24 problems men face","Self Help","0310217687","English"
"The New Kornshell"," Morris I.,Bolski","This book contains a tutorial that describes both the functions of ksh as an interactive command language and as a programming language","Programming","0131827006","English"
"The  Official Miranda Manual","Jerry,Dantzic","As up-to-date as a camera manual can be, this all-inclusive work contains the necessary information on all Miranda models including the very newest.","Manual","99973","English"
"The Power Of Transforming Prayer"," J. Oswald,Sanders","Learning to pray more effectively","Bible Study","9781627079563","English"
"The Story Of Scripture"," Robbie F.,Castleman","12 Studies for Individuals or groups","Bible Study","9780830831296","English"
"The verilogue hardware description language","Philip,Moorby;Donald e.,Thomas","The very long language is a hardware description language which provides a means of specifying a digital system at a wide range of levels of abstraction the language supports the early conceptual stages of design with its behavioral level of abstraction, and the later implementation stages with which its structure level of abstraction","Design","07923-91268","English"
"Transistor manual","General electric,Semiconductor products department","Circuits application specifications","Data book","99981","English"
"Twelve Unlikely Heros"," John,MacAuthur","How God Commissioned Unexpected People in the Bible and What He Wants to Do with You","Bible Study","9781400204106","English"
"Using Samba","David,Collier-Brown; Robert,Eckstein;Jay,Ts","A guidebook to help you implement samba on a Linux operating system","System administration","0596002564","English"
"Vic 20 Programmer'S Reference Guide"," A.,Finkel","Learn to program a Commodore Vic-20","Programming","99999","English"
"Web, Graphics & Perl/Tk"," J o n,Orwant","Web design using CGI and perl/tk","Web design","0596003110","English"
"Westinghouse electronic tube guide","Westinghouse electric corporation,Electronic tubes division","Your Westinghouse receiving and picture tube technical guy provides a complete, convenience source of essential data on all tubes involved in radio and television servicing.","Data book","99985","English"
"Westinghouse electronic tube guide","Westinghouse electric corporation,Electronic tube division","Your Westinghouse receiving and picture tube technical guy provides a complete, convenience source of essential data on all tubes involved in radio and television servicing.","Data book","99986","English"
"Writing Ms-Dos Device Drivers"," Robert s.,Lai","This book will teach you how to write your own device driver to interface any hardware device in your system we will explore various parts of the dos device drivers by developing and Coding several examples.","Programming","0201-608-375","English"
"Z80 Assembly Language Subroutines"," Winthrop,Saville","Learn how to program a Z80 processor in assembly language","Programming","0931988918","English"
